id,brand,price,high_category,specific_category,materials,colors,styles,tags
d11c7134-75f1-4aee-85ea-2cb14b721d1e,Lee,137.11,tops,blouses,['linen'],['orange'],['bohemian'],[]
a75a97e8-8c24-48d5-80f6-dbe1f57c485e,H&M,81.49,formal_wear,dresses,['cashmere'],['red'],['bohemian'],[]
23fe37ac-b6ea-46ed-b474-9a3f5cecd40b,Columbia,174.73,accessories,sunglasses,['canvas'],['purple'],['formal'],[]
fb718b39-b892-44b1-9b06-acf847a00556,Mango,151.47,outerwear,jackets,['polyester'],['yellow'],['casual'],[]
ed582712-e0f8-4c9c-9ff3-16a56c1f4ff1,Patagonia,98.5,shoes,heels,['silk'],['red'],['casual'],[]
174e3528-86a5-4fee-a860-8749aaca483c,Zara,75.71,formal_wear,tuxedos,['denim'],['grey'],['streetwear'],[]
ec638b07-0e32-4451-b250-e106910a6380,The North Face,153.49,sportswear,gym_bottoms,['cotton_blend'],['yellow'],['sporty'],[]
737d1a8c-74f8-4a54-bcb0-4afc11eaa694,Columbia,44.74,outerwear,coats,['cotton'],['blue'],['punk'],[]
1d7b7fcd-eee4-4287-aef5-fb89e8d78591,Columbia,30.56,outerwear,coats,['denim'],['pink'],['casual'],[]
82b5421d-38b6-48b2-b4bf-9c1a1b79f468,H&M,44.2,tops,shirts,['wool'],['grey'],['formal'],[]
1c9766ee-f27c-4d1e-90dc-44db48404298,Massimo Dutti,184.6,tops,blouses,['canvas'],['purple'],['formal'],[]
45319301-31fb-45df-b677-9b191b87657e,Under Armour,181.91,sportswear,athletic_shoes,['rayon'],['yellow'],['punk'],[]
36038a22-314e-4fb0-9206-bdb2c89252d4,Levi's,81.32,sportswear,bikinis,['cotton_blend'],['green'],['vintage'],[]
8b6bc2c1-f763-4a25-84a7-56a2561cdc35,The North Face,80.27,bottoms,skirts,['nylon'],['orange'],['minimalist'],[]
328147cb-6571-46f4-9e89-2e598c188db5,Timberland,146.97,shoes,sneakers,['cotton_blend'],['grey'],['formal'],[]
e85fd9a9-3cf0-4797-bcf1-ceb0f0d67433,Columbia,28.24,shoes,heels,['denim'],['pink'],['casual'],[]
86d53cc4-fa67-44f5-9180-658434693a34,Levi's,104.8,shoes,sneakers,['nylon'],['brown'],['formal'],[]
b8d395b6-4cac-4a7d-b925-fcbaa1bf6289,Lee,130.76,outerwear,vests,['silk'],['orange'],['sporty'],[]
fa7c5763-8cfd-4eb5-84c2-da1bf5c3b202,Adidas,26.15,shoes,sneakers,['cotton_blend'],['black'],['punk'],[]
e10e0c5d-79d0-497e-b68f-7d08ad1d9bcc,Lee,61.09,formal_wear,dresses,['cotton_blend'],['brown'],['punk'],[]
0fee83d2-d1db-4f9a-8634-ad47fc50dbc7,Wrangler,169.31,formal_wear,dresses,['hemp'],['multi'],['bohemian'],[]
c8d1c21c-0247-4e1c-86be-4db26bf8b60c,Mango,90.15,tops,sweaters,['hemp'],['red'],['vintage'],[]
aa158c15-b828-46a8-88bb-8a6082e57b03,Lee,191.89,outerwear,vests,['wool_blend'],['blue'],['business'],[]
7cac4529-24f0-47a6-9063-a9fb6b075d02,Bershka,127.24,bottoms,jeans,['cotton'],['green'],['chic'],[]
fb3b86dd-44d2-497a-a32a-d45527628615,The North Face,173.46,bottoms,jeans,['cotton_blend'],['blue'],['streetwear'],[]
ddf11eb4-6ed9-4683-8b8d-2b97a4abb30a,Puma,60.36,shoes,loafers,['cotton_blend'],['blue'],['punk'],[]
f7b9d39a-2002-4a38-9a6e-d7b52f178b29,Mango,104.77,tops,t-shirts,['wool'],['purple'],['formal'],[]
a3b218b3-3ae9-47ee-9898-f6de26ab4c95,Pull&Bear,159.27,formal_wear,dresses,['genuine_leather'],['orange'],['bohemian'],[]
9c784e87-bda5-4b67-b78a-ca1de7a9fef6,Patagonia,125.21,sportswear,bikinis,['climacool'],['orange'],['sporty'],[]
e9d5fa76-0772-4689-bdf3-7699b3ec09a2,Massimo Dutti,83.03,accessories,belts,['cotton_blend'],['multi'],['casual'],[]
afdf29a2-6859-4c40-850b-2c9e07e173f1,Patagonia,37.4,accessories,gloves,['linen'],['pink'],['vintage'],[]
d92f4663-f980-4271-8432-cc131580c566,H&M,101.38,bottoms,skirts,['denim'],['brown'],['chic'],[]
eb34b3c6-fe9e-4a1e-a5a9-2f2658022550,Columbia,181.48,formal_wear,suits,['cotton'],['purple'],['chic'],[]
8fafb4cc-60b9-492f-a1c0-e58ee58c038e,Columbia,48.6,shoes,flats,['acrylic'],['orange'],['punk'],[]
09370b63-b25d-4dea-a34c-c3e22387ae9b,Pull&Bear,20.82,shoes,heels,['acrylic'],['pink'],['chic'],[]
de4a8004-3266-4d65-b896-1981e42bcd53,Adidas,154.75,accessories,sunglasses,['sterling_silver'],['blue'],['chic'],[]
f3e69779-5b52-4ea3-8c29-2c2b4097d2e1,Adidas,111.12,accessories,jewelry,['spandex'],['red'],['preppy'],[]
b38251c8-85e9-442e-8290-7563c9f3fda5,The North Face,100.76,formal_wear,tuxedos,['wool'],['white'],['casual'],[]
a66cf923-383a-43a5-985c-7c2c1b298e4f,Mango,29.24,shoes,flats,['silk'],['blue'],['vintage'],[]
0294068d-b40b-471c-8871-1963fe4ec137,Columbia,72.6,formal_wear,tuxedos,['canvas'],['brown'],['formal'],[]
4cfd30e2-d450-43cc-a02a-aaf9d72265c7,Massimo Dutti,149.84,outerwear,jackets,['cotton'],['grey'],['chic'],[]
1ffcb2f5-233e-46c8-8275-308b4c6d9d7f,Lee,198.8,formal_wear,dresses,['cotton'],['blue'],['sporty'],[]
44c17f4e-d090-433f-a8d4-67cf2f0a3df3,Bershka,124.52,formal_wear,suits,['acrylic'],['multi'],['sporty'],[]
4ed31f7c-2eb3-4131-82ba-df96e6db01d2,Pull&Bear,62.12,sportswear,gym_tops,['acrylic'],['orange'],['punk'],[]
e0a4a73d-d1a9-41ce-9d85-2887d4104db3,Columbia,44.36,formal_wear,suits,['hemp'],['purple'],['preppy'],[]
1ac07f98-4b61-4ba6-9fe5-6df1fd79599e,Pull&Bear,148.47,tops,blouses,['wool_blend'],['white'],['preppy'],[]
ab07391a-fa57-4f89-a601-581450dec4f0,Cartier,153.59,accessories,jewelry,['gold_plated'],['multi'],['minimalist'],[]
b5e8573a-b623-460e-9ad8-c9d7456eec02,Nike,153.91,sportswear,gym_tops,['spandex'],['pink'],['casual'],[]
34244afa-c4f0-4c30-94f4-3e8d784132ee,Ray-Ban,60.12,accessories,scarves,['wool'],['multi'],['streetwear'],[]
5444861d-e482-4946-8336-dfe890a35448,H&M,77.97,tops,polo_shirts,['cotton'],['purple'],['sporty'],[]
b0c43ad6-42f1-40e8-bad4-621d78377907,Wrangler,40.68,accessories,belts,['hemp'],['orange'],['preppy'],[]
5caef7ff-e1ec-41c1-9946-9767e427c3a4,Uniqlo,115.36,tops,shirts,['denim'],['pink'],['streetwear'],[]
772961cb-ef5d-40bd-a375-9abe1d527bd6,Lee,92.23,accessories,sunglasses,['gold_plated'],['multi'],['streetwear'],[]
720df2de-6126-42b9-9855-caf7a6aaf484,Nike,185.93,shoes,sneakers,['polyester'],['purple'],['casual'],[]
b125b883-90e0-4caf-8821-e7d339668e7d,The North Face,36.36,formal_wear,tuxedos,['wool_blend'],['orange'],['vintage'],[]
581f6d3e-dcc5-494d-b8e7-208c741bed70,Pull&Bear,87.76,bottoms,skirts,['wool_blend'],['black'],['bohemian'],[]
8d43dd75-d5a4-417f-b5fd-185310525836,Pull&Bear,131.38,outerwear,vests,['leather'],['blue'],['business'],[]
3d9c2adf-a3dc-4473-b2b5-ab50c25d59bb,Mango,163.27,formal_wear,dresses,['cotton_blend'],['multi'],['preppy'],[]
43b939ff-bffe-4e32-87cb-dafbe96b85ed,The North Face,94.24,sportswear,gym_tops,['linen'],['grey'],['business'],[]
86d79edf-68ef-4be0-8da5-0dcece27c4ec,Levi's,49.64,sportswear,gym_bottoms,['cotton'],['black'],['business'],[]
598e1f1f-5a2d-4087-86dc-32b2ccae4f74,The North Face,86.41,shoes,flats,['genuine_leather'],['black'],['preppy'],[]
dfb0801e-89fc-44cc-ae8b-90fd28a2a406,The North Face,26.05,bottoms,jeans,['leather'],['red'],['vintage'],[]
75ce5a99-edf1-4787-b1e4-818d7f4b26d5,H&M,123.61,outerwear,blazers,['wool'],['white'],['preppy'],[]
698b5021-8ea1-4381-afa0-fb63512673e1,Zara,165.77,bottoms,jeans,['spandex'],['white'],['bohemian'],[]
289ad91f-f2e5-40e4-990c-81b5fa9bae7a,Puma,80.18,sportswear,bikinis,['leather'],['white'],['chic'],[]
2a7de159-0e35-4e97-82dd-30449b8798ef,H&M,61.14,outerwear,jackets,['spandex'],['grey'],['formal'],[]
25cf7839-1ba9-4e5f-aca8-208739d9772b,Lee,48.68,accessories,gloves,['polyester'],['red'],['chic'],[]
ad78823a-8f63-4e10-8b67-468be0b7adf3,Columbia,27.66,accessories,jewelry,['linen'],['grey'],['chic'],[]
4a880747-22fc-4eb5-b574-cdf999f6495d,Columbia,51.02,formal_wear,suits,['cashmere'],['brown'],['casual'],[]
b0f65600-fe57-45d0-92fd-67ca37b89986,Nike,72.96,shoes,heels,['cashmere'],['grey'],['minimalist'],[]
56d53142-2a54-4198-8c8b-6bd95cb4ebfe,Pull&Bear,90.76,bottoms,shorts,['acrylic'],['yellow'],['minimalist'],[]
c50403d3-9223-45f2-a67b-fe58835690d1,Levi's,129.87,accessories,jewelry,['silk'],['multi'],['bohemian'],[]
b60cac97-5f71-4136-b81e-12a64026b6ed,Massimo Dutti,199.16,sportswear,gym_tops,['suede'],['orange'],['chic'],[]
83fe6859-02b4-47b7-95fc-30d7baed9f3b,Mango,99.36,shoes,flats,['cotton'],['purple'],['sporty'],[]
12bd4d50-7473-476f-a30c-42402a662264,Bershka,177.9,formal_wear,dresses,['polyester'],['yellow'],['sporty'],[]
